zone,zone_lat,zone_lon,predicted_violations,covered,displaced_out,displaced_in,residual_predicted
BTP082 - KR Market Junction,12.964437358705567,77.57722593887625,25.348545,True,7.6,0.0,17.75
BTP040 - Elite Junction,12.976622070795319,77.57660554051733,9.521468,True,2.86,0.0,6.66
BTP058 - Subbanna Junction,12.978989333010263,77.57865990497868,14.536808,True,4.36,0.0,10.18
BTP044 - Sagar Theatre Junction,12.974967581711818,77.578895476761,5.557448,True,1.67,0.0,3.89
BTP051 - Safina Plaza Junction,12.981216675419292,77.60866933585206,1.9941627,True,0.6,0.0,1.39
BTP057 - Anand Rao Junction,12.979392785939394,77.57440407684848,7.3284783,True,2.2,0.0,5.13
BTP045 - Danvanthri Road Junction,12.977073068989547,77.57476422605498,5.3622146,True,1.61,0.0,3.75
BTP211 - Central Street Junction,12.98332668621232,77.60345690325934,2.4674883,True,0.74,0.0,1.73
GRID_12.93_77.69,12.93286626741966,77.69019528705788,2.7001574,True,0.81,0.0,1.89
"BTP083 - AS Char Street, Mysore Road",12.966447272054511,77.57438870947549,4.0138383,True,1.2,0.0,2.81
GRID_13.01_77.7,13.00853972996253,77.69597298270608,7.081698,True,2.12,0.0,4.96
BTP032 - Windsor Circle,12.993096625500073,77.58822236588165,1.9931624,True,0.6,0.0,1.39
BTP020 - Hosahalli Metro Station,12.974213729787916,77.54529567544986,1.099857,False,0.0,0.0,1.1
BTP027 - Modi Bridge Junction,12.99886389153938,77.54944489164671,0.7149678,False,0.0,0.0,0.71
"BTP080 - NR Road, SP Road Junction",12.964389685110014,77.58320405554326,1.2351035,True,0.37,0.0,0.87
"BTP001 - 10th Cross, Dr. Rajkumar Road",13.007777754280745,77.55463778222777,1.7428074,False,0.0,0.0,1.74
BTP048 - Shanthala Junction,12.976916589944134,77.57074814102155,2.5492907,True,0.76,0.0,1.79
BTP023 - Mahalaxmi Layout Entrance,13.008962948062864,77.54919073276713,1.5809636,False,0.0,0.0,1.58
BTP038 - Mysore Bank Junction,12.97345650595092,77.5812734098773,1.0552754,True,0.32,0.0,0.74
BTP043 - Upparpet Junction,12.971141156464634,77.57557509754892,1.342093,True,0.4,0.0,0.94
"BTP016 - 5th Main Road, RPC Layout",12.965271313031003,77.53778991937591,0.44385162,False,0.0,0.0,0.44
BTP104 - Medical College Circle,12.959592314468084,77.57662682195745,1.5727165,True,0.47,0.0,1.1
BTP042 - Minsk Square Junction (CTO),12.981158241534988,77.59844703972911,0.52943987,True,0.16,0.0,0.37
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",12.993699795955797,77.55377486975144,1.4823679,False,0.0,0.0,1.48
GRID_13.01_77.69,13.007213550671638,77.69048830261998,4.5223923,True,1.36,0.0,3.16
BTP108 - Tagore Park Junction,12.943919908505448,77.57145599325675,0.8060052,False,0.0,0.0,0.81
"BTP070 - Cholurpalya Junction, Magadi Road",12.97348335557552,77.55079738411703,0.36055437,False,0.0,0.0,0.36
GRID_13.18_77.68,13.184044065363398,77.67998424357705,3.6238067,False,0.0,0.0,3.62
BTP096 - Gali Anjaneya Temple,12.952584804157238,77.54121168047804,0.91244256,False,0.0,0.0,0.91
GRID_13.01_77.55,13.01175099404301,77.55371014683871,1.4686155,False,0.0,0.0,1.47
BTP061 - Bhashyam Circle,12.985179307748298,77.55395829537082,0.71411747,False,0.0,0.0,0.71
"BTP182 - 19th Main Junction, Rajajinagar",12.998964814459148,77.55086697652493,0.35799605,False,0.0,0.0,0.36
"BTP022 - Marenahalli Junction, Vijayanagar",12.96876777975821,77.53672266454917,0.36607847,False,0.0,0.0,0.37
BTP063 - Siddalingaiah Circle,12.971520568655096,77.59672272939262,0.47750038,False,0.0,0.0,0.48
"BTP026 - 1st Block Junction, Rajajinagar",13.002449113326447,77.55009747871901,0.3107164,False,0.0,0.0,0.31
