zone,zone_kind,bin_start,horizon,zone_lat,zone_lon,predicted_violations,risk,congestion_index,est_capacity_reduction_pct,economic_cost_inr,vehicle_hours_delay
"BTP001 - 10th Cross, Dr. Rajkumar Road",junction,2024-04-09 00:00:00,1,13.007777754280745,77.55463778222777,1.7428074,Low,8.1,4.8,35.0,0.2
BTP006 - Navarang Bar Junction,junction,2024-04-09 00:00:00,1,12.99110927631579,77.55770017368421,0.010386317,Low,0.1,0.0,0.0,0.0
BTP008 - Navarang Theatre,junction,2024-04-09 00:00:00,1,12.998479756367226,77.55309288953602,0.23540446,Low,0.8,0.5,0.0,0.0
BTP009 - Prakash Nagar Junction,junction,2024-04-09 00:00:00,1,12.992510784831461,77.5575310719101,0.09003056,Low,0.4,0.2,0.0,0.0
BTP010 - Rajajinagar Entrance,junction,2024-04-09 00:00:00,1,12.982219445330337,77.56000469953807,0.34002092,Low,1.7,1.0,1.0,0.0
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",junction,2024-04-09 00:00:00,1,12.993699795955797,77.55377486975144,1.4823679,Low,8.7,5.2,32.0,0.2
"BTP015 - Suguna Hospital, Dr. Rajkumar Road",junction,2024-04-09 00:00:00,1,12.987772653164557,77.5594433392405,0.021635959,Low,0.1,0.1,0.0,0.0
"BTP016 - 5th Main Road, RPC Layout",junction,2024-04-09 00:00:00,1,12.965271313031003,77.53778991937591,0.44385162,Low,1.7,1.0,2.0,0.0
BTP017 - Attiguppe Circle,junction,2024-04-09 00:00:00,1,12.960579954599407,77.52975111008902,0.015373715,Low,0.0,0.0,0.0,0.0
BTP018 - Dhobi Ghat Junction,junction,2024-04-09 00:00:00,1,12.987581793589744,77.54985970128205,0.23275422,Low,1.3,0.8,1.0,0.0
BTP020 - Hosahalli Metro Station,junction,2024-04-09 00:00:00,1,12.974213729787916,77.54529567544986,1.099857,Low,3.3,2.0,9.0,0.1
"BTP022 - Marenahalli Junction, Vijayanagar",junction,2024-04-09 00:00:00,1,12.96876777975821,77.53672266454917,0.36607847,Low,1.3,0.8,1.0,0.0
BTP023 - Mahalaxmi Layout Entrance,junction,2024-04-09 00:00:00,1,13.008962948062864,77.54919073276713,1.5809636,Low,7.3,4.4,29.0,0.2
"BTP024 - NPS, Vijayanagar",junction,2024-04-09 00:00:00,1,12.98285641751018,77.54881741390679,0.37222025,Low,1.9,1.2,2.0,0.0
"BTP025 - Puttamma Choultry, Nagarbhavi",junction,2024-04-09 00:00:00,1,12.978654194999999,77.53813890500001,0.008407307,Low,0.0,0.0,0.0,0.0
"BTP026 - 1st Block Junction, Rajajinagar",junction,2024-04-09 00:00:00,1,13.002449113326447,77.55009747871901,0.3107164,Low,1.5,0.9,1.0,0.0
BTP027 - Modi Bridge Junction,junction,2024-04-09 00:00:00,1,12.99886389153938,77.54944489164671,0.7149678,Low,2.6,1.5,5.0,0.0
BTP028 - Vijayanagar Bus Stand Junction,junction,2024-04-09 00:00:00,1,12.972557481866048,77.53810466215123,0.24769284,Low,1.1,0.7,1.0,0.0
BTP030 - Mekhri Circle,junction,2024-04-09 00:00:00,1,13.012824675714286,77.58383126285715,0.011930501,Low,0.1,0.0,0.0,0.0
BTP032 - Windsor Circle,junction,2024-04-09 00:00:00,1,12.993096625500073,77.58822236588165,1.9931624,Low,6.5,3.9,33.0,0.2
"BTP033 - Sophia High School, Sankey Road",junction,2024-04-09 00:00:00,1,12.990396026086957,77.58866933540372,0.4633325,Low,1.4,0.9,2.0,0.0
BTP034 - LRDE Junction,junction,2024-04-09 00:00:00,1,12.988376719514173,77.59181692993047,0.113099,Low,0.5,0.3,0.0,0.0
BTP035 - Basaweshwara Circle (LH) Junction,junction,2024-04-09 00:00:00,1,12.98461576451613,77.58817643870967,0.010579817,Low,0.1,0.0,0.0,0.0
BTP036 - Police Thimmaiah Circle (GPO),junction,2024-04-09 00:00:00,1,12.98094640945946,77.59428802297298,0.011586725,Low,0.1,0.0,0.0,0.0
BTP037 - KR Circle,junction,2024-04-09 00:00:00,1,12.976492461780106,77.58641872356021,0.11123438,Low,0.7,0.4,0.0,0.0
BTP038 - Mysore Bank Junction,junction,2024-04-09 00:00:00,1,12.97345650595092,77.5812734098773,1.0552754,Low,5.3,3.2,14.0,0.1
BTP040 - Elite Junction,junction,2024-04-09 00:00:00,1,12.976622070795319,77.57660554051733,9.521468,Medium,33.2,19.9,796.0,4.7
BTP041 - Gopal Gowda Circle,junction,2024-04-09 00:00:00,1,12.977367761450381,77.59045643778626,0.21672009,Low,1.0,0.6,1.0,0.0
BTP042 - Minsk Square Junction (CTO),junction,2024-04-09 00:00:00,1,12.981158241534988,77.59844703972911,0.52943987,Low,1.6,1.0,2.0,0.0
BTP043 - Upparpet Junction,junction,2024-04-09 00:00:00,1,12.971141156464634,77.57557509754892,1.342093,Low,7.0,4.2,24.0,0.1
BTP044 - Sagar Theatre Junction,junction,2024-04-09 00:00:00,1,12.974967581711818,77.578895476761,5.557448,Medium,23.7,14.2,331.0,2.0
BTP045 - Danvanthri Road Junction,junction,2024-04-09 00:00:00,1,12.977073068989547,77.57476422605498,5.3622146,Medium,25.6,15.4,347.0,2.1
BTP047 - Vidhan Soudha Metro Station,junction,2024-04-09 00:00:00,1,12.979841192592591,77.59251356560847,0.11690518,Low,0.6,0.3,0.0,0.0
BTP048 - Shanthala Junction,junction,2024-04-09 00:00:00,1,12.976916589944134,77.57074814102155,2.5492907,Low,18.4,11.0,118.0,0.7
BTP051 - Safina Plaza Junction,junction,2024-04-09 00:00:00,1,12.981216675419292,77.60866933585206,1.9941627,Low,9.3,5.6,47.0,0.3
BTP052 - CID Carlton House Junction,junction,2024-04-09 00:00:00,1,12.980892975739932,77.58766559770304,0.112536594,Low,0.6,0.4,0.0,0.0
BTP053 - Three Let Junction,junction,2024-04-09 00:00:00,1,12.983840382608696,77.58177968913044,0.027389275,Low,0.2,0.1,0.0,0.0
BTP054 - Shivananda Circle,junction,2024-04-09 00:00:00,1,12.986304582859464,77.57888402889894,0.31143835,Low,1.8,1.1,1.0,0.0
BTP057 - Anand Rao Junction,junction,2024-04-09 00:00:00,1,12.979392785939394,77.57440407684848,7.3284783,Medium,35.9,21.5,662.0,3.9
BTP058 - Subbanna Junction,junction,2024-04-09 00:00:00,1,12.978989333010263,77.57865990497868,14.536808,Medium,56.5,33.9,2070.0,12.3
BTP061 - Bhashyam Circle,junction,2024-04-09 00:00:00,1,12.985179307748298,77.55395829537082,0.71411747,Low,3.0,1.8,5.0,0.0
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",junction,2024-04-09 00:00:00,1,12.979942471434695,77.55467846447999,0.3218263,Low,1.7,1.0,1.0,0.0
BTP063 - Siddalingaiah Circle,junction,2024-04-09 00:00:00,1,12.971520568655096,77.59672272939262,0.47750038,Low,2.6,1.6,3.0,0.0
BTP064 - Devanga Hostel Junction,junction,2024-04-09 00:00:00,1,12.96268053368421,77.58990699578948,0.028168613,Low,0.2,0.1,0.0,0.0
BTP067 - Jai Muni Rao Circle,junction,2024-04-09 00:00:00,1,12.97851010095941,77.5427450559276,0.096722625,Low,0.5,0.3,0.0,0.0
BTP068 - Veeresh Theatre Junction,junction,2024-04-09 00:00:00,1,12.977204228666666,77.54560205444444,0.62966955,Low,2.4,1.5,4.0,0.0
BTP069 - MC Circle,junction,2024-04-09 00:00:00,1,12.974678015539343,77.54747629313898,0.4421763,Low,1.8,1.1,2.0,0.0
"BTP070 - Cholurpalya Junction, Magadi Road",junction,2024-04-09 00:00:00,1,12.97348335557552,77.55079738411703,0.36055437,Low,1.2,0.7,1.0,0.0
BTP071 - Prasanna Junction,junction,2024-04-09 00:00:00,1,12.974425242344251,77.55209937891078,0.30238038,Low,1.2,0.7,1.0,0.0
BTP074 - Leprosy Hospital Junction,junction,2024-04-09 00:00:00,1,12.975734541859076,77.56168708821251,0.20161189,Low,0.9,0.5,0.0,0.0
BTP075 - Police Corner,junction,2024-04-09 00:00:00,1,12.96872643839462,77.58633180090612,0.14563161,Low,1.0,0.6,0.0,0.0
BTP076 - Hudson Circle,junction,2024-04-09 00:00:00,1,12.968017993059126,77.5887969092545,0.13492288,Low,0.6,0.4,0.0,0.0
BTP077 - Halasuru Gate Junction,junction,2024-04-09 00:00:00,1,12.966897120833332,77.5870293625,0.010729262,Low,0.1,0.0,0.0,0.0
BTP078 - NR Square Junction,junction,2024-04-09 00:00:00,1,12.965887268780488,77.58540834780489,0.17849608,Low,1.0,0.6,0.0,0.0
BTP079 - Town Hall Junction,junction,2024-04-09 00:00:00,1,12.964662841935484,77.58480971935484,0.03386912,Low,0.2,0.1,0.0,0.0
"BTP080 - NR Road, SP Road Junction",junction,2024-04-09 00:00:00,1,12.964389685110014,77.58320405554326,1.2351035,Low,5.6,3.4,18.0,0.1
BTP082 - KR Market Junction,junction,2024-04-09 00:00:00,1,12.964437358705567,77.57722593887625,25.348545,Critical,68.5,41.1,4376.0,26.0
"BTP083 - AS Char Street, Mysore Road",junction,2024-04-09 00:00:00,1,12.966447272054511,77.57438870947549,4.0138383,Low,28.1,16.9,285.0,1.7
BTP085 - Briyand Circle,junction,2024-04-09 00:00:00,1,12.966174915827338,77.56939723597122,0.35754612,Low,2.5,1.5,2.0,0.0
"BTP089 - Police Quarters, Sultan Road",junction,2024-04-09 00:00:00,1,12.960992125,77.5635322325,0.06258953,Low,0.7,0.4,0.0,0.0
BTP091 - Sirsi Circle,junction,2024-04-09 00:00:00,1,12.962144173390557,77.55870154763949,0.33351043,Low,2.4,1.4,2.0,0.0
BTP092 - Bangalore Builders Junction,junction,2024-04-09 00:00:00,1,12.959349637647058,77.5557458717647,0.12793598,Low,1.2,0.7,0.0,0.0
"BTP093 - Toll Gate, Mysore Road",junction,2024-04-09 00:00:00,1,12.958547894444443,77.55221098194444,0.036275584,Low,0.3,0.2,0.0,0.0
"BTP094 - Sri Skanda Complex, Mysore Road",junction,2024-04-09 00:00:00,1,12.95581615764706,77.54618573529412,0.05014409,Low,0.4,0.2,0.0,0.0
"BTP095 - Satellite Bus Stand, Mysore Road",junction,2024-04-09 00:00:00,1,12.953803576387163,77.5433510796265,0.48043236,Low,2.2,1.3,3.0,0.0
BTP096 - Gali Anjaneya Temple,junction,2024-04-09 00:00:00,1,12.952584804157238,77.54121168047804,0.91244256,Low,5.3,3.2,12.0,0.1
BTP098 - Nayandahalli Junction,junction,2024-04-09 00:00:00,1,12.944968452830189,77.52777250314465,0.27696058,Low,2.1,1.2,1.0,0.0
"BTP099 - Cash Pharmacy, Residency Road",junction,2024-04-09 00:00:00,1,12.969258660389611,77.60025074188312,0.10811977,Low,0.7,0.4,0.0,0.0
