zone,zone_kind,bin_start,zone_lat,zone_lon,predicted_violations,risk,priority_score,congestion_index,est_capacity_reduction_pct,pcu_load,forecast_window_start
BTP082 - KR Market Junction,junction,2024-04-09,12.964437358705567,77.57722593887625,20.903877,High,93.6,61.4,36.9,23.82,2024-04-09
BTP058 - Subbanna Junction,junction,2024-04-09,12.978989333010263,77.57865990497868,16.29061,High,68.0,60.7,36.4,23.32,2024-04-09
BTP040 - Elite Junction,junction,2024-04-09,12.976622070795319,77.57660554051733,8.330733,Medium,57.7,29.8,17.9,8.83,2024-04-09
BTP044 - Sagar Theatre Junction,junction,2024-04-09,12.974967581711818,77.578895476761,6.3690977,Medium,51.6,26.7,16.0,7.76,2024-04-09
BTP051 - Safina Plaza Junction,junction,2024-04-09,12.981216675419292,77.60866933585206,1.4326994,Low,44.1,6.7,4.0,1.75,2024-04-09
BTP057 - Anand Rao Junction,junction,2024-04-09,12.979392785939394,77.57440407684848,7.5162473,Medium,39.9,36.6,22.0,11.39,2024-04-09
BTP045 - Danvanthri Road Junction,junction,2024-04-09,12.977073068989547,77.57476422605498,5.107541,Medium,31.6,24.6,14.8,7.05,2024-04-09
GRID_12.93_77.69,grid,2024-04-09,12.93286626741966,77.69019528705788,3.777299,Low,30.4,13.3,8.0,3.57,2024-04-09
GRID_13.01_77.7,grid,2024-04-09,13.00853972996253,77.69597298270608,8.186332,Medium,29.2,35.9,21.5,11.12,2024-04-09
"BTP083 - AS Char Street, Mysore Road",junction,2024-04-09,12.966447272054511,77.57438870947549,3.9837272,Low,27.5,27.9,16.8,8.19,2024-04-09
BTP211 - Central Street Junction,junction,2024-04-09,12.98332668621232,77.60345690325934,2.3256195,Low,27.2,13.0,7.8,3.48,2024-04-09
BTP032 - Windsor Circle,junction,2024-04-09,12.993096625500073,77.58822236588165,2.1633701,Low,23.1,7.1,4.2,1.83,2024-04-09
"BTP001 - 10th Cross, Dr. Rajkumar Road",junction,2024-04-09,13.007777754280745,77.55463778222777,2.059303,Low,21.9,9.4,5.7,2.48,2024-04-09
BTP027 - Modi Bridge Junction,junction,2024-04-09,12.99886389153938,77.54944489164671,0.8240924,Low,21.2,3.0,1.8,0.75,2024-04-09
BTP020 - Hosahalli Metro Station,junction,2024-04-09,12.974213729787916,77.54529567544986,0.79624695,Low,21.1,2.4,1.4,0.61,2024-04-09
"BTP080 - NR Road, SP Road Junction",junction,2024-04-09,12.964389685110014,77.58320405554326,1.1859022,Low,20.9,5.4,3.2,1.39,2024-04-09
BTP048 - Shanthala Junction,junction,2024-04-09,12.976916589944134,77.57074814102155,2.2633777,Low,20.0,16.5,9.9,4.5,2024-04-09
GRID_13.01_77.69,grid,2024-04-09,13.007213550671638,77.69048830261998,4.620268,Low,18.5,19.5,11.7,5.42,2024-04-09
BTP023 - Mahalaxmi Layout Entrance,junction,2024-04-09,13.008962948062864,77.54919073276713,1.4858803,Low,17.9,6.9,4.1,1.78,2024-04-09
BTP043 - Upparpet Junction,junction,2024-04-09,12.971141156464634,77.57557509754892,1.3297691,Low,17.7,6.9,4.2,1.8,2024-04-09
GRID_13.18_77.68,grid,2024-04-09,13.184044065363398,77.67998424357705,4.057278,Low,17.5,21.5,12.9,6.07,2024-04-09
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",junction,2024-04-09,12.993699795955797,77.55377486975144,1.6799195,Low,17.2,9.8,5.9,2.57,2024-04-09
BTP038 - Mysore Bank Junction,junction,2024-04-09,12.97345650595092,77.5812734098773,0.8160579,Low,16.9,4.2,2.5,1.06,2024-04-09
"BTP016 - 5th Main Road, RPC Layout",junction,2024-04-09,12.965271313031003,77.53778991937591,0.4559759,Low,16.8,1.7,1.0,0.44,2024-04-09
BTP104 - Medical College Circle,junction,2024-04-09,12.959592314468084,77.57662682195745,1.3265878,Low,16.6,9.0,5.4,2.35,2024-04-09
BTP042 - Minsk Square Junction (CTO),junction,2024-04-09,12.981158241534988,77.59844703972911,0.42885768,Low,16.1,1.3,0.8,0.33,2024-04-09
BTP108 - Tagore Park Junction,junction,2024-04-09,12.943919908505448,77.57145599325675,0.7616693,Low,15.9,3.0,1.8,0.76,2024-04-09
