vehicle_number,violation_count,unique_zones,vehicle_type,last_seen,top_zone
FKN00GL4424,43,1,SCOOTER,2024-03-30 11:51:46,GRID_13.07_77.59
FKN00GL9771,37,2,CAR,2024-04-05 01:15:46,BTP058 - Subbanna Junction
FKN00GL17863,33,2,CAR,2024-03-08 09:04:46,BTP040 - Elite Junction
FKN00GL3514,28,1,PASSENGER AUTO,2024-03-14 15:17:46,BTP051 - Safina Plaza Junction
FKN00GL15265,28,2,MOTOR CYCLE,2024-04-05 03:07:46,BTP040 - Elite Junction
FKN00GL2906,28,2,CAR,2024-03-28 05:02:46,"BTP170 - Dr. Bheem Rao Palace, Chord Road"
FKN00GL1875,27,1,MOTOR CYCLE,2024-03-15 10:54:46,BTP051 - Safina Plaza Junction
FKN00GL14092,26,1,SCOOTER,2024-02-24 04:47:46,GRID_12.93_77.69
FKN00GL1118,26,2,CAR,2024-03-29 07:05:46,"BTP026 - 1st Block Junction, Rajajinagar"
FKN00GL24601,25,1,MOTOR CYCLE,2024-04-08 07:16:46,BTP040 - Elite Junction
FKN00GL20818,24,1,SCOOTER,2024-04-03 06:55:46,BTP040 - Elite Junction
FKN00GL2819,23,1,SCOOTER,2024-02-27 04:04:46,BTP042 - Minsk Square Junction (CTO)
FKN00GL25480,23,2,SCOOTER,2024-04-06 09:41:46,BTP040 - Elite Junction
FKN00GL7963,23,1,SCOOTER,2024-03-22 11:17:46,GRID_13.07_77.59
FKN00GL0420,22,1,SCOOTER,2024-03-24 08:50:46,BTP020 - Hosahalli Metro Station
FKN00GL18629,22,1,SCOOTER,2024-04-08 08:28:46,GRID_13.07_77.59
FKN00GL8361,22,2,SCOOTER,2024-03-25 11:47:46,BTP040 - Elite Junction
FKN00GL6355,22,1,SCOOTER,2024-04-04 04:32:46,BTP042 - Minsk Square Junction (CTO)
FKN00GL1175,22,2,CAR,2024-04-06 11:39:46,BTP058 - Subbanna Junction
FKN00GL19337,22,1,SCOOTER,2024-04-06 07:14:46,BTP051 - Safina Plaza Junction
FKN00GL1498,22,1,MOTOR CYCLE,2024-04-06 08:50:46,GRID_13.05_77.58
FKN00GL8041,22,1,SCOOTER,2024-03-19 07:01:46,GRID_13.07_77.59
FKN00GL18794,21,2,CAR,2024-03-30 03:59:46,BTP044 - Sagar Theatre Junction
FKN00GL9334,21,2,SCOOTER,2024-03-27 09:47:46,BTP042 - Minsk Square Junction (CTO)
FKN00GL0395,21,1,SCOOTER,2024-04-03 09:08:46,BTP044 - Sagar Theatre Junction
FKN00GL32387,21,1,CAR,2024-04-08 01:31:46,BTP058 - Subbanna Junction
FKN00GL8564,21,1,SCOOTER,2024-04-01 11:19:46,BTP051 - Safina Plaza Junction
FKN00GL6353,21,1,SCOOTER,2024-04-06 10:33:46,BTP042 - Minsk Square Junction (CTO)
FKN00GL7910,21,1,SCOOTER,2024-03-12 03:59:46,BTP044 - Sagar Theatre Junction
FKN00GL9852,21,2,PASSENGER AUTO,2024-03-30 15:00:46,BTP051 - Safina Plaza Junction
FKN00GL6310,21,1,MOTOR CYCLE,2024-04-04 09:32:46,BTP051 - Safina Plaza Junction
FKN00GL6334,20,1,SCOOTER,2024-04-04 02:03:46,GRID_13.05_77.58
FKN00GL6860,20,1,CAR,2024-04-07 01:23:46,BTP058 - Subbanna Junction
FKN00GL14399,20,1,SCOOTER,2024-04-04 05:37:46,BTP042 - Minsk Square Junction (CTO)
FKN00GL9526,20,1,SCOOTER,2024-02-27 04:01:46,BTP042 - Minsk Square Junction (CTO)
FKN00GL18528,20,1,SCOOTER,2024-03-22 11:10:46,GRID_13.07_77.59
FKN00GL1199,20,1,MOTOR CYCLE,2024-04-03 05:53:46,BTP042 - Minsk Square Junction (CTO)
FKN00GL9182,20,2,SCOOTER,2024-03-10 10:14:46,BTP027 - Modi Bridge Junction
FKN00GL8015,20,1,MOTOR CYCLE,2024-03-30 11:48:46,GRID_13.07_77.59
FKN00GL6006,20,1,SCOOTER,2024-04-08 06:39:46,BTP040 - Elite Junction
FKN00GL104980,20,2,SCOOTER,2024-01-09 09:24:46,BTP042 - Minsk Square Junction (CTO)
FKN00GL0635,20,1,SCOOTER,2024-03-28 13:32:46,GRID_12.93_77.69
FKN00GL4020,19,1,SCOOTER,2024-04-06 10:21:46,BTP023 - Mahalaxmi Layout Entrance
FKN00GL8043,19,1,SCOOTER,2024-03-22 12:18:46,GRID_13.07_77.59
FKN00GL4303,19,1,SCOOTER,2024-04-06 02:21:46,GRID_12.93_77.69
FKN00GL13920,19,2,SCOOTER,2024-03-18 13:06:46,BTP051 - Safina Plaza Junction
FKN00GL11463,19,1,SCOOTER,2024-02-23 08:12:46,BTP040 - Elite Junction
FKN00GL1243,19,3,CAR,2024-04-08 03:38:46,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road"
FKN00GL22537,19,1,SCOOTER,2024-04-07 10:33:46,BTP040 - Elite Junction
FKN00GL0333,19,1,SCOOTER,2024-03-29 11:03:46,BTP051 - Safina Plaza Junction
FKN00GL7998,19,1,CAR,2024-03-21 05:10:46,"BTP016 - 5th Main Road, RPC Layout"
FKN00GL11475,19,1,CAR,2024-04-07 01:20:46,BTP058 - Subbanna Junction
FKN00GL22063,19,1,MOTOR CYCLE,2024-03-23 09:04:46,GRID_13.07_77.59
FKN00GL17388,19,3,SCOOTER,2024-01-20 07:46:46,BTP032 - Windsor Circle
FKN00GL15753,19,1,PASSENGER AUTO,2024-04-08 14:00:46,BTP051 - Safina Plaza Junction
FKN00GL18074,19,1,SCOOTER,2024-03-29 12:25:46,BTP042 - Minsk Square Junction (CTO)
FKN00GL0636,19,1,SCOOTER,2024-04-06 02:22:46,GRID_12.93_77.69
FKN00GL21004,18,1,SCOOTER,2024-03-23 10:54:46,BTP023 - Mahalaxmi Layout Entrance
FKN00GL7612,18,2,CAR,2024-04-08 02:21:46,GRID_12.89_77.64
FKN00GL7916,18,2,SCOOTER,2024-04-07 09:09:46,BTP044 - Sagar Theatre Junction
FKN00GL12905,18,1,CAR,2024-02-21 04:52:46,GRID_12.97_77.62
FKN00GL24467,18,1,SCOOTER,2024-03-31 12:09:46,GRID_13.07_77.59
FKN00GL23079,18,3,CAR,2024-04-04 03:02:46,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road"
FKN00GL2850,18,1,MOTOR CYCLE,2024-03-29 03:06:46,BTP020 - Hosahalli Metro Station
FKN00GL1048,18,1,SCOOTER,2024-04-02 07:07:46,GRID_12.93_77.69
FKN00GL0954,18,2,SCOOTER,2024-04-06 10:36:46,GRID_12.93_77.69
FKN00GL3688,17,2,SCOOTER,2024-03-28 06:16:46,GRID_13.07_77.59
FKN00GL16746,17,4,SCHOOL VEHICLE,2024-03-04 07:17:46,GRID_12.89_77.64
FKN00GL0907,17,1,MOTOR CYCLE,2024-03-16 03:33:46,GRID_12.93_77.69
FKN00GL35922,17,1,PASSENGER AUTO,2024-03-28 08:28:46,BTP051 - Safina Plaza Junction
FKN00GL0930,17,1,PASSENGER AUTO,2024-03-09 06:28:46,GRID_13.01_77.57
FKN00GL22956,17,2,SCOOTER,2024-02-07 01:42:46,BTP032 - Windsor Circle
FKN00GL3695,17,2,SCOOTER,2024-04-06 10:36:46,GRID_12.93_77.69
FKN00GL5111,17,1,SCOOTER,2024-04-06 02:11:46,BTP008 - Navarang Theatre
FKN00GL56080,17,1,SCOOTER,2024-03-08 09:28:46,BTP051 - Safina Plaza Junction
FKN00GL1049,17,1,SCOOTER,2024-03-28 08:07:46,GRID_12.93_77.69
FKN00GL6391,17,1,CAR,2024-03-29 03:12:46,"BTP024 - NPS, Vijayanagar"
FKN00GL24261,17,2,SCOOTER,2024-04-01 07:51:46,BTP051 - Safina Plaza Junction
FKN00GL20898,17,2,SCOOTER,2024-03-23 11:04:46,BTP040 - Elite Junction
FKN00GL6219,16,2,SCOOTER,2024-03-31 06:05:46,BTP023 - Mahalaxmi Layout Entrance
FKN00GL40079,16,1,SCOOTER,2024-03-23 10:48:46,GRID_13.04_77.59
FKN00GL44151,16,1,MOTOR CYCLE,2024-03-11 05:14:46,BTP044 - Sagar Theatre Junction
FKN00GL4107,16,1,CAR,2024-02-27 12:09:46,GRID_13.01_77.55
FKN00GL17853,16,1,MOTOR CYCLE,2024-03-27 08:32:46,GRID_12.93_77.69
FKN00GL17808,16,1,MOTOR CYCLE,2024-03-13 02:59:46,GRID_12.93_77.69
FKN00GL16984,16,1,MOTOR CYCLE,2024-03-21 10:43:46,GRID_12.93_77.69
FKN00GL9606,16,3,CAR,2024-04-08 03:18:46,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road"
FKN00GL54261,16,1,SCOOTER,2024-03-22 08:10:46,GRID_12.93_77.69
FKN00GL4480,16,1,SCOOTER,2024-03-28 08:26:46,GRID_13.07_77.59
FKN00GL10449,16,2,CAR,2024-03-12 01:12:46,BTP058 - Subbanna Junction
FKN00GL6946,16,2,SCOOTER,2024-02-07 03:08:46,BTP032 - Windsor Circle
FKN00GL6443,16,1,MOTOR CYCLE,2024-02-10 10:39:46,GRID_13.07_77.59
FKN00GL19014,16,2,CAR,2024-04-07 01:14:46,BTP058 - Subbanna Junction
FKN00GL2735,16,1,SCOOTER,2024-03-28 09:10:46,GRID_12.93_77.69
FKN00GL2817,16,1,MOTOR CYCLE,2024-03-17 08:46:46,BTP051 - Safina Plaza Junction
FKN00GL2993,16,1,SCOOTER,2024-02-03 02:24:46,BTP032 - Windsor Circle
FKN00GL2317,16,1,CAR,2024-02-23 07:52:46,BTP040 - Elite Junction
FKN00GL3242,16,1,SCOOTER,2024-03-28 13:16:46,GRID_12.93_77.69
FKN00GL35636,16,1,SCOOTER,2024-03-07 05:54:46,BTP042 - Minsk Square Junction (CTO)
FKN00GL32407,16,1,CAR,2024-03-26 09:01:46,BTP058 - Subbanna Junction
FKN00GL32651,16,1,SCOOTER,2024-03-17 08:41:46,BTP051 - Safina Plaza Junction
FKN00GL21720,16,2,PASSENGER AUTO,2024-04-04 09:41:46,BTP051 - Safina Plaza Junction
FKN00GL58024,16,1,SCOOTER,2024-03-18 05:10:46,BTP051 - Safina Plaza Junction
FKN00GL111727,16,1,MOTOR CYCLE,2024-01-03 11:22:46,BTP040 - Elite Junction
FKN00GL101845,15,1,MOTOR CYCLE,2023-12-30 08:34:46,BTP042 - Minsk Square Junction (CTO)
FKN00GL4341,15,1,MOTOR CYCLE,2024-03-29 03:42:46,BTP020 - Hosahalli Metro Station
FKN00GL5362,15,2,CAR,2024-03-29 10:48:46,GRID_12.96_77.7
FKN00GL9990,15,2,SCOOTER,2024-02-09 02:42:46,BTP032 - Windsor Circle
FKN00GL6780,15,3,CAR,2024-03-06 03:20:46,"BTP182 - 19th Main Junction, Rajajinagar"
FKN00GL12732,15,1,PASSENGER AUTO,2024-02-18 10:48:46,BTP051 - Safina Plaza Junction
FKN00GL12904,15,2,CAR,2024-02-10 09:26:46,GRID_12.97_77.62
FKN00GL1301,15,2,SCOOTER,2024-04-02 04:46:46,BTP068 - Veeresh Theatre Junction
FKN00GL14755,15,2,SCOOTER,2024-04-02 03:20:46,"BTP115 - Sahasra Hospital, Jayanagar"
FKN00GL0397,15,1,SCOOTER,2024-04-07 08:29:46,BTP044 - Sagar Theatre Junction
FKN00GL1880,15,1,SCOOTER,2024-03-29 11:03:46,BTP051 - Safina Plaza Junction
FKN00GL10031,15,1,MOTOR CYCLE,2024-03-15 06:26:46,GRID_12.93_77.69
FKN00GL10586,15,1,LGV,2024-04-03 08:45:46,BTP044 - Sagar Theatre Junction
FKN00GL7952,15,1,LORRY/GOODS VEHICLE,2024-04-08 02:29:46,GRID_12.88_77.64
FKN00GL25402,15,2,PASSENGER AUTO,2024-04-08 09:34:46,BTP051 - Safina Plaza Junction
FKN00GL0889,15,1,SCOOTER,2024-03-16 03:53:46,GRID_12.93_77.69
FKN00GL2353,15,1,CAR,2024-04-08 01:36:46,BTP058 - Subbanna Junction
FKN00GL19786,15,2,SCOOTER,2024-04-06 01:23:46,BTP040 - Elite Junction
FKN00GL0734,15,1,JEEP,2024-01-06 06:04:46,GRID_13.01_77.57
FKN00GL2687,15,2,SCOOTER,2024-04-06 10:21:46,BTP023 - Mahalaxmi Layout Entrance
FKN00GL3832,15,2,MOTOR CYCLE,2024-02-08 03:15:46,GRID_13.05_77.53
FKN00GL4759,15,2,SCOOTER,2024-04-04 08:29:46,BTP051 - Safina Plaza Junction
FKN00GL5016,15,3,SCOOTER,2024-03-29 06:54:46,GRID_13.0_77.58
FKN00GL2715,15,1,MOTOR CYCLE,2024-03-28 08:44:46,GRID_12.93_77.69
FKN00GL2996,15,3,SCOOTER,2024-04-02 07:34:46,BTP032 - Windsor Circle
FKN00GL8821,15,1,MOTOR CYCLE,2024-04-04 07:53:46,GRID_13.01_77.55
FKN00GL27365,15,1,CAR,2024-04-07 06:08:46,"BTP182 - 19th Main Junction, Rajajinagar"
FKN00GL33465,15,1,SCOOTER,2024-03-11 09:37:46,BTP058 - Subbanna Junction
FKN00GL3531,15,1,SCOOTER,2024-04-06 10:43:46,GRID_12.93_77.69
FKN00GL51416,15,2,CAR,2024-04-07 01:03:46,BTP040 - Elite Junction
FKN00GL41563,15,3,TEMPO,2024-04-04 03:02:46,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road"
FKN00GL18326,14,1,SCOOTER,2024-03-30 11:59:46,GRID_13.07_77.59
FKN00GL94778,14,1,SCOOTER,2024-03-04 05:04:46,BTP040 - Elite Junction
FKN00GL1473,14,3,LGV,2024-03-27 10:56:46,"BTP170 - Dr. Bheem Rao Palace, Chord Road"
FKN00GL16534,14,1,SCOOTER,2024-03-22 07:58:46,GRID_12.93_77.69
FKN00GL0369,14,1,MOTOR CYCLE,2024-04-06 02:22:46,GRID_12.93_77.69
FKN00GL14101,14,1,SCOOTER,2024-03-12 09:24:46,GRID_12.93_77.69
FKN00GL18450,14,2,SCOOTER,2024-02-15 02:33:46,BTP027 - Modi Bridge Junction
FKN00GL18309,14,2,PASSENGER AUTO,2024-04-02 06:21:46,GRID_12.98_77.61
FKN00GL20170,14,1,LGV,2024-04-08 11:50:46,GRID_13.01_77.53
FKN00GL19357,14,1,CAR,2024-03-30 04:27:46,BTP058 - Subbanna Junction
FKN00GL11800,14,1,MOTOR CYCLE,2024-04-08 06:41:46,BTP040 - Elite Junction
