zone,zone_kind,zone_lat,zone_lon
"BTP001 - 10th Cross, Dr. Rajkumar Road",junction,13.007777754280745,77.55463778222777
BTP006 - Navarang Bar Junction,junction,12.99110927631579,77.55770017368421
BTP008 - Navarang Theatre,junction,12.998479756367226,77.55309288953602
BTP009 - Prakash Nagar Junction,junction,12.992510784831461,77.5575310719101
BTP010 - Rajajinagar Entrance,junction,12.982219445330337,77.56000469953807
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",junction,12.993699795955797,77.55377486975144
"BTP015 - Suguna Hospital, Dr. Rajkumar Road",junction,12.987772653164557,77.5594433392405
"BTP016 - 5th Main Road, RPC Layout",junction,12.965271313031003,77.53778991937591
BTP017 - Attiguppe Circle,junction,12.960579954599407,77.52975111008902
BTP018 - Dhobi Ghat Junction,junction,12.987581793589744,77.54985970128205
BTP020 - Hosahalli Metro Station,junction,12.974213729787916,77.54529567544986
"BTP022 - Marenahalli Junction, Vijayanagar",junction,12.96876777975821,77.53672266454917
BTP023 - Mahalaxmi Layout Entrance,junction,13.008962948062864,77.54919073276713
"BTP024 - NPS, Vijayanagar",junction,12.98285641751018,77.54881741390679
"BTP025 - Puttamma Choultry, Nagarbhavi",junction,12.978654194999999,77.53813890500001
"BTP026 - 1st Block Junction, Rajajinagar",junction,13.002449113326447,77.55009747871901
BTP027 - Modi Bridge Junction,junction,12.99886389153938,77.54944489164671
BTP028 - Vijayanagar Bus Stand Junction,junction,12.972557481866048,77.53810466215123
BTP030 - Mekhri Circle,junction,13.012824675714286,77.58383126285715
BTP032 - Windsor Circle,junction,12.993096625500073,77.58822236588165
"BTP033 - Sophia High School, Sankey Road",junction,12.990396026086957,77.58866933540372
BTP034 - LRDE Junction,junction,12.988376719514173,77.59181692993047
BTP035 - Basaweshwara Circle (LH) Junction,junction,12.98461576451613,77.58817643870967
BTP036 - Police Thimmaiah Circle (GPO),junction,12.98094640945946,77.59428802297298
BTP037 - KR Circle,junction,12.976492461780106,77.58641872356021
BTP038 - Mysore Bank Junction,junction,12.97345650595092,77.5812734098773
BTP040 - Elite Junction,junction,12.976622070795319,77.57660554051733
BTP041 - Gopal Gowda Circle,junction,12.977367761450381,77.59045643778626
BTP042 - Minsk Square Junction (CTO),junction,12.981158241534988,77.59844703972911
BTP043 - Upparpet Junction,junction,12.971141156464634,77.57557509754892
BTP044 - Sagar Theatre Junction,junction,12.974967581711818,77.578895476761
BTP045 - Danvanthri Road Junction,junction,12.977073068989547,77.57476422605498
BTP047 - Vidhan Soudha Metro Station,junction,12.979841192592591,77.59251356560847
BTP048 - Shanthala Junction,junction,12.976916589944134,77.57074814102155
BTP051 - Safina Plaza Junction,junction,12.981216675419292,77.60866933585206
BTP052 - CID Carlton House Junction,junction,12.980892975739932,77.58766559770304
BTP053 - Three Let Junction,junction,12.983840382608696,77.58177968913044
BTP054 - Shivananda Circle,junction,12.986304582859464,77.57888402889894
BTP057 - Anand Rao Junction,junction,12.979392785939394,77.57440407684848
BTP058 - Subbanna Junction,junction,12.978989333010263,77.57865990497868
BTP061 - Bhashyam Circle,junction,12.985179307748298,77.55395829537082
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",junction,12.979942471434695,77.55467846447999
BTP063 - Siddalingaiah Circle,junction,12.971520568655096,77.59672272939262
BTP064 - Devanga Hostel Junction,junction,12.96268053368421,77.58990699578948
BTP067 - Jai Muni Rao Circle,junction,12.97851010095941,77.5427450559276
BTP068 - Veeresh Theatre Junction,junction,12.977204228666666,77.54560205444444
BTP069 - MC Circle,junction,12.974678015539343,77.54747629313898
"BTP070 - Cholurpalya Junction, Magadi Road",junction,12.97348335557552,77.55079738411703
BTP071 - Prasanna Junction,junction,12.974425242344251,77.55209937891078
BTP074 - Leprosy Hospital Junction,junction,12.975734541859076,77.56168708821251
BTP075 - Police Corner,junction,12.96872643839462,77.58633180090612
BTP076 - Hudson Circle,junction,12.968017993059126,77.5887969092545
BTP077 - Halasuru Gate Junction,junction,12.966897120833332,77.5870293625
BTP078 - NR Square Junction,junction,12.965887268780488,77.58540834780489
BTP079 - Town Hall Junction,junction,12.964662841935484,77.58480971935484
"BTP080 - NR Road, SP Road Junction",junction,12.964389685110014,77.58320405554326
BTP082 - KR Market Junction,junction,12.964437358705567,77.57722593887625
"BTP083 - AS Char Street, Mysore Road",junction,12.966447272054511,77.57438870947549
BTP085 - Briyand Circle,junction,12.966174915827338,77.56939723597122
"BTP089 - Police Quarters, Sultan Road",junction,12.960992125,77.5635322325
BTP091 - Sirsi Circle,junction,12.962144173390557,77.55870154763949
BTP092 - Bangalore Builders Junction,junction,12.959349637647058,77.5557458717647
"BTP093 - Toll Gate, Mysore Road",junction,12.958547894444443,77.55221098194444
"BTP094 - Sri Skanda Complex, Mysore Road",junction,12.95581615764706,77.54618573529412
"BTP095 - Satellite Bus Stand, Mysore Road",junction,12.953803576387163,77.5433510796265
BTP096 - Gali Anjaneya Temple,junction,12.952584804157238,77.54121168047804
BTP098 - Nayandahalli Junction,junction,12.944968452830189,77.52777250314465
"BTP099 - Cash Pharmacy, Residency Road",junction,12.969258660389611,77.60025074188312
BTP100 - Richmond Circle,junction,12.962794659409594,77.59828995424354
"BTP101 - Blood Bank Circle, KH Road",junction,12.961954240163934,77.5961973273224
"BTP102 - BMTC Junction, KH Road",junction,12.95558064,77.59289194142858
BTP103 - Shanti Nagar TTMC,junction,12.953835349166667,77.59173402500001
BTP104 - Medical College Circle,junction,12.959592314468084,77.57662682195745
BTP105 - Shivasankara Circle,junction,12.956886487078652,77.57419385617978
BTP106 - VV Puram College,junction,12.952853619144381,77.5742573657524
BTP107 - National College Junction,junction,12.948955050684932,77.57294951506849
BTP108 - Tagore Park Junction,junction,12.943919908505448,77.57145599325675
BTP109 - Dewan Madhava Rao Junction,junction,12.940876033076922,77.5724223026923
"BTP110 - Bharathi Nursing Home, Basavanagudi",junction,12.93742960532226,77.57230527575187
"BTP112 - 14th Cross, KR Road",junction,12.92934653,77.57320882
"BTP113 - 27th Cross, Pai Vista, KR Road",junction,12.917530724324326,77.57309781441441
"BTP114 - KR Road Junction, Near JSS",junction,12.924322724413159,77.57493878339055
"BTP115 - Sahasra Hospital, Jayanagar",junction,12.9172537672404,77.57373717884926
"BTP117 - 9th Cross, Kanakapura Road",junction,12.91238351302521,77.57324936218488
BTP118 - Basappa Circle,junction,12.958122083148147,77.57755178
BTP119 - Minerva Circle,junction,12.955120233734938,77.58029479216867
BTP120 - Lalbagh Main Gate Junction,junction,12.954161373619632,77.58463449325154
BTP121 - KH Circle,junction,12.951919158666666,77.59041085733334
BTP122 - Siddapura Junction,junction,12.948459547286822,77.59291910930233
"BTP123 - 10th Cross, Wilson Garden",junction,12.946074685373008,77.59611191647917
